source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,gcns_prob,dist_50
3424082416684988160,13.581498,14.701515,12.530642,1.3665389,1.0,0.062139288
3424082378028667008,12.139196,13.136808,11.151245,1.3350157,1.0,0.062209
3424059876696566656,8.858319,9.116294,8.428459,1.1972442,1.0,0.0744183
3403306457280879232,14.014085,15.438774,12.839554,1.4369723,1.0,0.082480125
3427259386812825216,13.649247,,,,1.0,0.06162148
3427254473371649664,17.65419,20.49972,16.153435,1.7296791,1.0,0.049493723
3427315049590129024,17.35903,19.644274,15.890619,1.7160887,1.0,0.08054405
3427317931512150912,18.106844,20.195707,16.734186,1.5962093,1.0,0.10284834
3424267065918977408,15.379336,17.370617,14.063835,1.5297443,1.0,0.04105605
3424274521982173184,15.171586,16.850565,13.92808,1.4776468,1.0,0.05367269
3424251531020669696,9.209049,9.697648,8.541351,1.2409707,1.0,0.057940036
3427280724209996288,18.889013,20.680532,17.47757,1.6837746,1.0,0.10723314
3427527873810816896,13.474293,14.245856,11.623697,2.6707833,0.976,0.105539925
3427560889222527360,17.259762,19.29339,15.94141,1.5290288,1.0,0.090133525
3427587350514542976,18.268286,20.895895,16.771523,1.7352507,1.0,0.059910223
3427589034144102912,15.946624,17.601057,14.709287,1.473683,1.0,0.07943248
3427569346011668736,18.986713,20.694147,17.54869,1.7332661,1.0,0.10570754
3427567112631019648,13.391784,14.550965,12.320779,1.3781344,1.0,0.08288103
3427585254570404992,18.936945,20.910305,17.421986,1.816803,1.0,0.09223146
3427665686422585728,13.160307,14.116865,12.191948,1.3274648,1.0,0.09638832
3427394558025190912,14.005519,15.368982,12.85692,1.4189919,1.0,0.08379024
3427397169365171840,13.485961,14.762622,12.368703,1.4016886,1.0,0.051489368
3427465094269776000,13.201247,14.196737,12.21012,1.3386438,1.0,0.09018308
3427482725113315200,18.077528,18.7022,17.376495,1.2107762,1.0,0.05181264
3427479456640408448,8.612543,8.976178,8.070073,1.2125641,1.0,0.04087862
3427414619816233216,19.6152,21.341692,18.083427,1.8733901,1.0,0.106785394
3427489493981877888,13.739856,14.789131,12.691829,1.3810573,1.0,0.099816605
3427489493981877248,15.456712,16.822214,14.26594,1.4666262,1.0,0.10008497
3424208650074561280,12.90277,14.547443,11.6640005,1.4768461,1.0,0.029209405
3424102070454971264,14.558923,16.14409,13.341321,1.4603932,1.0,0.08290789
